,Player,Season,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
120,raef-lafrentz,Career,Kansas,,131,26.6,6.3,11.3,0.555,6.2,11.1,0.56,0.1,0.3,0.371,3.1,4.3,0.7120000000000001,9.1,0.7,0.7,1.1,1.8,1.9,15.8
121,james-harden,Career,Arizona State,,69,,6.0,11.9,0.506,4.6,8.0,0.57,1.5,3.9,0.376,5.4,7.2,0.755,5.4,3.7,1.9,0.4,3.0,,19.0
122,jrue-holiday,Career,UCLA,,35,,3.2,7.1,0.45,2.4,4.6,0.528,0.8,2.5,0.307,1.3,1.8,0.726,3.8,3.7,1.6,0.5,2.1,,8.5
123,donyell-marshall,Career,UConn,,91,31.0,6.6,13.5,0.48700000000000004,5.7,10.7,0.5329999999999999,0.8,2.7,0.306,4.1,5.4,0.77,7.6,1.4,1.2,2.7,2.6,2.5,18.1
124,rashad-mccants,Career,UNC,,98,29.2,6.3,12.9,0.486,4.0,7.4,0.5379999999999999,2.3,5.4,0.415,2.8,3.8,0.721,4.1,2.1,1.5,0.6,,,17.6
125,jameer-nelson,Career,St. Joseph's,,125,34.5,5.6,12.4,0.45399999999999996,3.8,7.4,0.514,1.8,5.0,0.365,3.7,4.7,0.7859999999999999,4.6,5.7,2.0,0.1,,,16.8
126,paul-pierce,Career,Kansas,,108,26.8,6.0,12.4,0.48100000000000004,5.0,9.6,0.518,1.0,2.8,0.355,3.4,4.9,0.6970000000000001,6.3,2.2,1.4,0.9,2.7,1.7,16.4
127,patrick-patterson,Career,Kentucky,,97,33.0,6.4,10.9,0.585,6.1,10.1,0.604,0.2,0.8,0.32899999999999996,3.2,4.3,0.7340000000000001,8.2,1.5,0.7,1.6,1.6,0.6,16.1
128,tayshaun-prince,Career,Kentucky,,135,29.8,4.8,10.5,0.457,3.3,5.9,0.556,1.5,4.6,0.32899999999999996,2.0,2.7,0.743,5.6,1.9,0.8,1.1,1.7,1.4,13.1
129,ty-lawson,Career,UNC,,105,,4.4,8.5,0.517,3.3,5.9,0.568,1.1,2.6,0.40299999999999997,3.2,4.1,0.78,2.9,5.8,1.8,0.1,2.0,,13.1
130,john-salmons,Career,Miami (FL),,124,30.8,3.6,7.7,0.466,2.9,5.5,0.523,0.7,2.2,0.321,2.5,3.1,0.805,5.5,3.5,1.5,0.7,2.6,2.5,10.4
131,salim-stoudamire,Career,Arizona,,129,29.8,4.8,10.1,0.47100000000000003,2.1,4.3,0.488,2.7,5.8,0.45799999999999996,3.0,3.5,0.87,2.2,2.0,0.8,0.1,,,15.2
132,chucky-atkins,Career,South Florida,,111,34.1,4.7,11.6,0.41,2.5,5.5,0.462,2.2,6.1,0.36200000000000004,2.9,3.9,0.737,3.0,4.7,1.0,0.1,3.1,1.9,14.6
133,jerryd-bayless,Career,Arizona,,30,35.7,5.8,12.6,0.45799999999999996,3.8,7.8,0.489,2.0,4.8,0.40700000000000003,6.2,7.4,0.8390000000000001,2.7,4.0,1.0,0.1,3.0,,19.7
134,alec-burks,Career,Colorado,,68,30.9,6.2,12.6,0.495,5.5,10.4,0.5329999999999999,0.7,2.2,0.313,5.9,7.3,0.804,5.8,2.4,1.1,0.4,2.3,2.4,19.0
135,chris-copeland,Career,Colorado,,113,,2.5,5.9,0.431,1.5,3.0,0.49700000000000005,1.0,2.9,0.361,1.4,2.0,0.701,3.8,1.0,0.4,0.8,,,7.5
136,anthony-johnson,Career,College of Charleston,,117,24.0,2.9,6.1,0.466,2.3,4.7,0.485,0.6,1.4,0.40399999999999997,1.9,2.6,0.725,2.6,4.4,1.3,0.2,,,8.2
137,aaron-mckie,Career,Temple,,92,38.0,6.1,14.5,0.42100000000000004,4.2,9.2,0.45299999999999996,1.9,5.3,0.366,3.8,4.8,0.79,6.4,3.3,2.1,0.3,1.9,2.1,17.9
138,chris-paul,Career,Wake Forest,,63,33.5,4.4,9.3,0.47200000000000003,3.0,6.4,0.473,1.4,2.9,0.47,4.9,5.8,0.838,3.9,6.3,2.5,0.2,,,15.0
139,quincy-pondexter,Career,Washington,,136,32.3,4.8,9.5,0.503,4.4,8.3,0.528,0.4,1.2,0.327,3.1,4.1,0.768,5.6,1.7,0.8,0.3,1.9,0.7,13.1
140,jalen-rose,Career,Michigan,,102,34.4,6.2,13.3,0.46399999999999997,5.0,9.7,0.512,1.2,3.6,0.336,4.0,5.4,0.738,4.7,3.9,1.2,0.3,3.1,2.4,17.5
141,david-wesley,Career,Baylor,,72,31.3,5.1,11.6,0.441,3.4,7.1,0.48100000000000004,1.7,4.5,0.377,5.1,6.1,0.828,3.5,4.4,2.0,0.2,3.5,2.8,17.0
142,ricky-davis,Career,Iowa,,31,,5.6,12.0,0.466,4.7,9.0,0.518,0.9,2.9,0.308,2.9,4.2,0.698,4.8,2.4,1.2,0.3,,,15.0
143,paul-george,Career,Fresno State,,63,33.2,5.1,11.4,0.447,3.1,6.5,0.485,1.9,4.9,0.396,3.4,4.2,0.8029999999999999,6.7,2.4,2.0,0.9,2.7,1.3,15.5
144,jamal-mashburn,Career,Kentucky,,98,30.2,6.9,13.3,0.516,5.4,9.3,0.5770000000000001,1.5,4.0,0.376,3.5,5.1,0.6970000000000001,7.8,2.2,1.6,0.5,2.5,3.1,18.8
145,erick-strickland,Career,Nebraska,,127,25.5,4.2,9.6,0.439,2.8,5.6,0.504,1.4,4.0,0.349,2.7,3.4,0.7759999999999999,4.0,3.3,2.0,0.3,2.6,2.8,12.5
146,isaiah-canaan,Career,Murray State,,132,29.4,4.8,10.7,0.45,2.5,5.2,0.483,2.3,5.5,0.419,3.6,4.5,0.8029999999999999,2.8,2.9,1.2,0.1,2.4,1.8,15.5
